Time (sE-1),Position,Force
39.6,110.04,0.79
39.7,109.58,0.76
39.8,108.83,0.72
39.9,107.81,0.69
40,106.51,0.65
40.1,104.94,0.61
40.2,103.10,0.57
40.3,101.00,0.53
40.4,98.64,0.49
40.5,96.03,0.44
40.6,93.18,0.40
40.7,90.09,0.35
40.8,86.77,0.30
40.9,83.22,0.25
41,79.47,0.21
41.1,75.51,0.16
41.2,71.36,0.11
41.3,67.03,0.06
41.4,62.52,0.01
41.5,57.86,-0.04
41.6,53.05,-0.09
41.7,48.11,-0.14
41.8,43.05,-0.19
41.9,37.88,-0.24
42,32.61,-0.29
42.1,27.26,-0.33
42.2,21.84,-0.38
42.3,16.37,-0.42
42.4,10.86,-0.47
42.5,5.33,-0.51
42.6,-0.21,-0.55
42.7,-5.76,-0.59
42.8,-11.28,-0.63
42.9,-16.77,-0.67
43,-22.21,-0.70
43.1,-27.60,-0.74
43.2,-32.90,-0.77
43.3,-38.12,-0.80
43.4,-43.24,-0.82
43.5,-48.25,-0.85
43.6,-53.12,-0.87
43.7,-57.86,-0.89
43.8,-62.44,-0.91
43.9,-66.86,-0.93
44,-71.11,-0.94
44.1,-75.16,-0.95
44.2,-79.03,-0.96
44.3,-82.68,-0.97
44.4,-86.12,-0.97
44.5,-89.34,-0.97
44.6,-92.33,-0.97
44.7,-95.08,-0.97
44.8,-97.58,-0.96
44.9,-99.83,-0.95
45,-101.82,-0.94
45.1,-103.55,-0.93
45.2,-105.01,-0.91
45.3,-106.21,-0.90
45.4,-107.13,-0.88
45.5,-107.78,-0.85
45.6,-108.15,-0.83
45.7,-108.25,-0.80
45.8,-108.08,-0.78
45.9,-107.63,-0.75
46,-106.91,-0.71
46.1,-105.92,-0.68
46.2,-104.67,-0.65
46.3,-103.15,-0.61
46.4,-101.37,-0.57
46.5,-99.35,-0.53
46.6,-97.07,-0.49
46.7,-94.56,-0.45
46.8,-91.81,-0.41
46.9,-88.84,-0.36
47,-85.65,-0.32
47.1,-82.26,-0.27
47.2,-78.67,-0.23
47.3,-74.89,-0.18
47.4,-70.93,-0.14
47.5,-66.80,-0.09
47.6,-62.52,-0.05
47.7,-58.09,0.00
47.8,-53.54,0.05
47.9,-48.86,0.09
48,-44.08,0.14
48.1,-39.20,0.18
48.2,-34.24,0.23
48.3,-29.21,0.27
48.4,-24.13,0.31
48.5,-19.00,0.35
48.6,-13.85,0.39
48.7,-8.69,0.43
48.8,-3.52,0.47
48.9,1.64,0.50
49,6.76,0.54
49.1,11.85,0.57
49.2,16.89,0.60
49.3,21.86,0.63
49.4,26.76,0.66
49.5,31.56,0.69
49.6,36.26,0.71
49.7,40.85,0.74
49.8,45.31,0.76
49.9,49.64,0.77
50,53.81,0.79
50.1,57.83,0.80
50.2,61.69,0.82
50.3,65.36,0.83
50.4,68.85,0.83
50.5,72.15,0.84
50.6,75.25,0.84
50.7,78.14,0.85
50.8,80.81,0.84
50.9,83.26,0.84
51,85.49,0.84
51.1,87.49,0.83
51.2,89.25,0.82
51.3,90.78,0.81
51.4,92.07,0.79
51.5,93.11,0.78
51.6,93.91,0.76
51.7,94.47,0.74
51.8,94.78,0.72
51.9,94.85,0.70
52,94.67,0.68
52.1,94.26,0.65
52.2,93.61,0.62
52.3,92.72,0.60
52.4,91.60,0.57
52.5,90.26,0.54
52.6,88.69,0.50
52.7,86.91,0.47
52.8,84.92,0.44
52.9,82.73,0.40
53,80.34,0.37
53.1,77.76,0.33
53.2,75.00,0.29
53.3,72.07,0.26
53.4,68.98,0.22
53.5,65.73,0.18
53.6,62.34,0.14
53.7,58.82,0.11
53.8,55.17,0.07
53.9,51.41,0.03
54,47.55,-0.01
54.1,43.60,-0.04
54.2,39.56,-0.08
54.3,35.46,-0.12
54.4,31.30,-0.15
54.5,27.10,-0.19
54.6,22.86,-0.22
54.7,18.60,-0.25
54.8,14.32,-0.28
54.9,10.05,-0.31
55,5.79,-0.34
55.1,1.55,-0.37
55.2,-2.65,-0.40
55.3,-6.81,-0.43
55.4,-10.92,-0.45
55.5,-14.96,-0.47
55.6,-18.92,-0.50
55.7,-22.79,-0.52
55.8,-26.58,-0.53
55.9,-30.25,-0.55
56,-33.81,-0.57
56.1,-37.25,-0.58
56.2,-40.56,-0.59
56.3,-43.74,-0.60
56.4,-46.76,-0.61
56.5,-49.64,-0.62
56.6,-52.36,-0.62
56.7,-54.91,-0.63
56.8,-57.30,-0.63
56.9,-59.51,-0.63
57,-61.54,-0.63
57.1,-63.39,-0.63
57.2,-65.06,-0.62
57.3,-66.54,-0.61
57.4,-67.83,-0.61
57.5,-68.93,-0.60
57.6,-69.84,-0.59
57.7,-70.55,-0.58
57.8,-71.08,-0.56
57.9,-71.41,-0.55
58,-71.55,-0.53
58.1,-71.51,-0.52
58.2,-71.28,-0.50
58.3,-70.86,-0.48
58.4,-70.27,-0.46
58.5,-69.50,-0.44
58.6,-68.56,-0.42
58.7,-67.45,-0.39
58.8,-66.18,-0.37
58.9,-64.75,-0.35
59,-63.18,-0.32
59.1,-61.45,-0.30
59.2,-59.59,-0.27
59.3,-57.60,-0.25
59.4,-55.49,-0.22
59.5,-53.26,-0.20
59.6,-50.91,-0.17
59.7,-48.47,-0.14
59.8,-45.94,-0.12
59.9,-43.32,-0.09
60,-40.63,-0.07
60.1,-37.87,-0.04
60.2,-35.05,-0.02
60.3,-32.18,0.01
60.4,-29.27,0.03
60.5,-26.33,0.06
60.6,-23.36,0.08
60.7,-20.38,0.10
60.8,-17.39,0.12
60.9,-14.41,0.14
61,-11.43,0.16
61.1,-8.48,0.18
61.2,-5.55,0.20
61.3,-2.66,0.22
61.4,0.19,0.23
61.5,2.99,0.25
61.6,5.73,0.26
61.7,8.40,0.28
61.8,11.01,0.29
61.9,13.54,0.30
62,15.98,0.31
62.1,18.33,0.32
62.2,20.59,0.33
62.3,22.75,0.33
62.4,24.80,0.34
62.5,26.75,0.34
62.6,28.58,0.35
62.7,30.30,0.35
62.8,31.90,0.35
62.9,33.38,0.35
63,34.73,0.35
63.1,35.96,0.35
63.2,37.06,0.35
63.3,38.03,0.34
63.4,38.88,0.34
63.5,39.59,0.33
63.6,40.18,0.33
63.7,40.65,0.32
63.8,40.98,0.31
63.9,41.20,0.30
64,41.29,0.30
64.1,41.26,0.29
64.2,41.11,0.28
64.3,40.84,0.27
64.4,40.47,0.25
64.5,39.99,0.24
64.6,39.40,0.23
64.7,38.72,0.22
64.8,37.94,0.21
64.9,37.07,0.19
65,36.11,0.18
65.1,35.07,0.17
65.2,33.96,0.16
65.3,32.78,0.14
65.4,31.54,0.13
65.5,30.23,0.12
65.6,28.88,0.10
65.7,27.47,0.09
65.8,26.03,0.08
65.9,24.55,0.07
66,23.05,0.06
66.1,21.52,0.05
66.2,19.98,0.03
66.3,18.42,0.02
66.4,16.86,0.01
66.5,15.30,0.00
66.6,13.75,0.00
66.7,12.21,-0.01
66.8,10.69,-0.02
66.9,9.20,-0.03
67,7.73,-0.04
67.1,6.29,-0.04
67.2,4.89,-0.05
67.3,3.54,-0.05
67.4,2.23,-0.06
67.5,0.97,-0.06
67.6,-0.24,-0.06
67.7,-1.39,-0.07
67.8,-2.48,-0.07
67.9,-3.50,-0.07
68,-4.46,-0.07
68.1,-5.35,-0.07
68.2,-6.18,-0.07
68.3,-6.93,-0.07
68.4,-7.61,-0.07
68.5,-8.21,-0.06
68.6,-8.74,-0.06
68.7,-9.20,-0.06
68.8,-9.58,-0.06
68.9,-9.89,-0.05
69,-10.13,-0.05
69.1,-10.29,-0.05
69.2,-10.38,-0.04
69.3,-10.41,-0.04
69.4,-10.37,-0.03
69.5,-10.26,-0.03
69.6,-10.09,-0.02
69.7,-9.86,-0.02
69.8,-9.57,-0.01
69.9,-9.23,-0.01
70,-8.84,0.00
70.1,-8.40,0.00
70.2,-7.93,0.00
70.3,-7.42,0.00
70.4,-6.89,0.00
70.5,-6.35,0.00
70.6,-5.80,0.00
70.7,-5.24,0.00
70.8,-4.69,0.00
70.9,-4.15,0.00
71,-3.61,0.00
71.1,-3.10,0.00
71.2,-2.60,0.00
71.3,-2.13,0.00
71.4,-1.68,0.00
71.5,-1.26,0.00
71.6,-0.87,0.00
71.7,-0.50,0.00
71.8,-0.17,0.00
71.9,0.14,0.00
72,0.41,0.00
72.1,0.65,0.00
72.2,0.87,0.00
72.3,1.06,0.00
72.4,1.21,0.00
72.5,1.34,0.00
72.6,1.45,0.00
72.7,1.53,0.00
72.8,1.59,0.00
72.9,1.63,0.00
73,1.65,0.00
73.1,1.65,0.00
73.2,1.64,0.00
73.3,1.61,0.00
73.4,1.57,0.00
73.5,1.52,0.00
73.6,1.46,0.00
73.7,1.39,0.00
73.8,1.31,0.00
73.9,1.23,0.00
74,1.15,0.00
74.1,1.06,0.00
74.2,0.97,0.00
74.3,0.88,0.00
74.4,0.79,0.00
74.5,0.70,0.00
74.6,0.61,0.00
74.7,0.53,0.00
74.8,0.45,0.00
74.9,0.37,0.00
75,0.29,0.00
75.1,0.22,0.00
75.2,0.16,0.00
75.3,0.10,0.00
75.4,0.04,0.00
75.5,-0.01,0.00
75.6,-0.06,0.00
75.7,-0.10,0.00
75.8,-0.13,0.00
75.9,-0.16,0.00
76,-0.19,0.00
76.1,-0.21,0.00
76.2,-0.23,0.00
76.3,-0.25,0.00
76.4,-0.26,0.00
76.5,-0.26,0.00
76.6,-0.27,0.00
76.7,-0.27,0.00
76.8,-0.27,0.00
76.9,-0.26,0.00
77,-0.26,0.00
77.1,-0.25,0.00
77.2,-0.24,0.00
77.3,-0.23,0.00
77.4,-0.22,0.00
77.5,-0.20,0.00
77.6,-0.19,0.00
77.7,-0.18,0.00
77.8,-0.16,0.00
77.9,-0.15,0.00
78,-0.13,0.00
78.1,-0.12,0.00
78.2,-0.10,0.00
78.3,-0.09,0.00
78.4,-0.08,0.00
78.5,-0.06,0.00
78.6,-0.05,0.00
78.7,-0.04,0.00
78.8,-0.03,0.00
78.9,-0.02,0.00
79,-0.01,0.00
79.1,0.00,0.00
79.2,0.01,0.00
79.3,0.01,0.00
79.4,0.02,0.00
79.5,0.03,0.00
79.6,0.03,0.00
79.7,0.03,0.00
79.8,0.04,0.00
79.9,0.04,0.00
80,0.04,0.00
80.1,0.04,0.00
80.2,0.04,0.00
80.3,0.04,0.00
80.4,0.04,0.00
80.5,0.04,0.00
80.6,0.04,0.00
80.7,0.04,0.00
80.8,0.04,0.00
80.9,0.04,0.00
81,0.04,0.00
81.1,0.03,0.00
81.2,0.03,0.00
81.3,0.03,0.00
81.4,0.03,0.00
81.5,0.02,0.00
81.6,0.02,0.00
81.7,0.02,0.00
81.8,0.02,0.00
81.9,0.02,0.00
82,0.01,0.00
82.1,0.01,0.00
82.2,0.01,0.00
82.3,0.01,0.00
82.4,0.01,0.00
82.5,0.00,0.00
82.6,0.00,0.00
82.7,0.00,0.00
82.8,0.00,0.00
82.9,0.00,0.00
83,0.00,0.00
83.1,0.00,0.00
83.2,0.00,0.00
83.3,-0.01,0.00
83.4,-0.01,0.00
