Time (sx10E-1),Position,Force
42.8,100.000008,1
42.9,100.0000078,1
43,100.0000077,1
43.1,100.0000074,1
43.2,100.000007,1
43.3,100.0000067,1
43.4,100.0000064,1
43.5,100.0000059,1
43.6,100.0000055,1
43.7,100.0000051,1
43.8,100.0000047,1
43.9,100.0000042,1
44,100.0000038,1
44.1,100.0000033,1
44.2,100.0000029,1
44.3,100.0000025,1
44.4,100.0000021,1
44.5,100.0000017,1
44.6,100.0000014,1
44.7,100.000001,1
44.8,100.0000007,1
44.9,100.0000004,1
45,100.0000001,1
45.1,99.99999994,1
45.2,99.99999966,1
45.3,99.99999945,1
45.4,99.9999993,1
45.5,99.99999915,1
45.6,99.99999907,1
45.7,99.99999889,1
45.8,99.99999884,1
45.9,99.99999873,1
46,99.99999871,1
46.1,99.99999866,1
46.2,99.99999864,1
46.3,99.99999866,1
46.4,99.99999864,1
46.5,99.99999866,1
46.6,99.99999874,1
46.7,99.9999987,1
46.8,99.99999875,1
46.9,99.99999884,1
47,99.99999903,1
47.1,99.99999907,1
47.2,99.99999908,1
47.3,99.99999904,1
47.4,99.99999915,1
47.5,99.99999924,1
47.6,99.99999933,1
47.7,99.99999935,1
47.8,99.99999947,1
47.9,99.99999952,1
48,99.99999958,1
48.1,99.99999962,1
48.2,99.99999973,1
48.3,99.99999977,1
48.4,99.99999983,1
48.5,99.99999989,1
48.6,99.99999999,1
48.7,100,1
48.8,100,1
48.9,100,1
49,100,1
49.1,100.0000001,1
49.2,100.0000001,1
49.3,100.0000001,1
49.4,100.0000001,1
49.5,100.0000001,1
49.6,100.0000001,1
49.7,100.0000002,1
49.8,100.0000001,1
49.9,100.0000001,1
50,100.0000001,1
50.1,100.0000002,1
50.2,100.0000002,1
50.3,100.0000001,1
50.4,100.0000002,1
50.5,100.0000001,1
50.6,100.0000001,1
50.7,100.0000002,1
50.8,100.0000001,1
50.9,100.0000001,1
51,100.0000001,1
51.1,100.0000001,1
51.2,100.0000001,1
51.3,100.0000001,1
51.4,100.0000001,1
51.5,100.0000001,1
51.6,100.0000001,1
51.7,99.99999999,1
51.8,100.0000001,1
51.9,99.99999998,1
52,99.99999989,1
52.1,99.99999992,1
52.2,99.99999993,1
52.3,99.99999992,1
52.4,99.99999996,1
52.5,99.99999994,1
52.6,99.99999995,1
52.7,99.99999992,1
52.8,99.99999993,1
52.9,99.99999991,1
53,99.99999989,1
53.1,99.99999992,1
53.2,99.99999995,1
53.3,99.9999999,1
53.4,99.99999994,1
53.5,99.99999993,1
53.6,99.99999991,1
53.7,99.99999991,1
53.8,99.99999995,1
53.9,99.99999995,1
54,99.99999995,1
54.1,99.99999993,1
54.2,99.99999992,1
54.3,99.99999995,1
54.4,99.99999991,1
54.5,99.99999993,1
54.6,99.99999989,1
54.7,99.99999999,1
54.8,99.99999993,1
54.9,99.99999992,1
55,99.99999997,1
55.1,99.99999993,1
55.2,99.99999995,1
55.3,99.99999992,1
55.4,99.99999992,1
55.5,99.99999996,1
55.6,99.99999995,1
55.7,99.99999991,1
55.8,99.99999993,1
55.9,99.99999994,1
56,99.99999994,1
56.1,99.99999997,1
56.2,99.99999999,1
56.3,99.99999998,1
56.4,100,1
56.5,99.99999996,1
56.6,99.99999993,1
56.7,99.99999995,1
56.8,99.9999999,1
56.9,99.99999994,1
57,100,1
57.1,99.99999994,1
57.2,99.99999997,1
57.3,99.99999993,1
57.4,99.99999987,1
57.5,99.99999996,1
57.6,100,1
57.7,100,1
57.8,99.99999998,1
57.9,99.99999996,1
58,99.99999996,1
58.1,99.99999995,1
58.2,99.99999996,1
58.3,99.99999996,1
58.4,99.99999998,1
58.5,99.99999996,1
58.6,99.99999997,1
58.7,99.99999994,1
58.8,100,1
58.9,100,1
59,99.99999998,1
59.1,99.99999993,1
59.2,100,1
59.3,99.99999997,1
59.4,100,1
59.5,99.99999998,1
59.6,99.99999996,1
59.7,99.99999994,1
59.8,99.99999999,1
59.9,99.99999994,1
60,99.99999988,1
60.1,99.51665843,0
60.2,98.13307548,0
60.3,95.94807598,0
60.4,93.05870066,0
60.5,89.55945263,0
60.6,85.54164106,0
60.7,81.09281654,0
60.8,76.29629625,0
60.9,71.23077467,0
61,65.97001537,0
61.1,60.58261872,0
61.2,55.13186098,0
61.3,49.67559945,0
61.4,44.26623738,0
61.5,38.95074637,0
61.6,33.7707346,0
61.7,28.76256279,0
61.8,23.95749751,0
61.9,19.38189882,0
62,15.05743641,0
62.1,11.00132989,0
62.2,7.226608665,0
62.3,3.742386646,0
62.4,0.554148347,0
62.5,-2.335958014,0
62.6,-4.928823317,0
62.7,-7.228079963,0
62.8,-9.239806439,0
62.9,-10.97223667,0
63,-12.43547671,0
63.1,-13.64123041,0
63.2,-14.60253611,0
63.3,-15.33351574,0
63.4,-15.84913729,0
63.5,-16.16499213,0
63.6,-16.29708728,0
63.7,-16.26165379,0
63.8,-16.07497106,0
63.9,-15.75320737,0
64,-15.31227685,0
64.1,-14.76771217,0
64.2,-14.13455336,0
64.3,-13.42725154,0
64.4,-12.65958764,0
64.5,-11.84460506,0
64.6,-10.99455589,0
64.7,-10.1208597,0
64.8,-9.234074203,0
64.9,-8.343876858,0
65,-7.459056649,0
65.1,-6.587515026,0
65.2,-5.736275276,0
65.3,-4.911499286,0
65.4,-4.118510948,0
65.5,-3.361825253,0
65.6,-2.645182378,0
65.7,-1.971585816,0
65.8,-1.343343949,0
65.9,-0.76211424,0
66,-0.228949414,0
66.1,0.255654995,0
66.2,0.691712347,0
66.3,1.079696322,0
66.4,1.420492631,0
66.5,1.715351367,0
66.6,1.965840493,0
66.7,2.173800524,0
66.8,2.341301327,0
66.9,2.47060045,0
67,2.564103846,0
67.1,2.624328868,0
67.2,2.653869729,0
67.3,2.655365534,0
67.4,2.631470895,0
67.5,2.584829236,0
67.6,2.5180487,0
67.7,2.433680731,0
67.8,2.334201191,0
67.9,2.221994024,0
68,2.09933732,0
68.1,1.968391751,0
68.2,1.83119118,0
68.3,1.689635392,0
68.4,1.545484807,0
68.5,1.400356981,0
68.6,1.255724836,0
68.7,1.112916408,0
68.8,0.973116022,0
68.9,0.837366692,0
69,0.706573657,0
69.1,0.581508889,0
69.2,0.462816428,0
69.3,0.351018424,0
69.4,0.246521817,0
69.5,0.149625366,0
69.6,0.060527144,0
69.7,-0.020667773,0
69.8,-0.093939456,0
69.9,-0.15934521,0
70,-0.217011676,0
70.1,-0.267127033,0
70.2,-0.30993335,0
70.3,-0.345719159,0
70.4,-0.374812286,0
70.5,-0.397572995,0
70.6,-0.414387481,0
70.7,-0.425661723,0
70.8,-0.431815747,0
70.9,-0.43327829,0
71,-0.4304819,0
71.1,-0.423858457,0
71.2,-0.413835131,0
71.3,-0.400830768,0
71.4,-0.385252703,0
71.5,-0.367493976,0
71.6,-0.347930961,0
71.7,-0.326921369,0
71.8,-0.304802628,0
71.9,-0.281890597,0
72,-0.258478626,0
72.1,-0.234836898,0
72.2,-0.211212071,0
72.3,-0.187827169,0
72.4,-0.164881711,0
72.5,-0.142552053,0
72.6,-0.12099191,0
72.7,-0.100333054,0
72.8,-0.080686149,0
72.9,-0.062141704,0
73,-0.044771131,0
73.1,-0.028627889,0
73.2,-0.013748675,0
73.3,-0.000154679,0
73.4,0.012147148,0
73.5,0.023162802,0
73.6,0.032909938,0
73.7,0.041416594,0
73.8,0.048719931,0
73.9,0.054865018,0
74,0.059903649,0
74.1,0.063893206,0
74.2,0.066895589,0
74.3,0.068976192,0
74.4,0.070202951,0
74.5,0.070645456,0
74.6,0.07037413,0
74.7,0.069459484,0
74.8,0.067971434,0
74.9,0.065978696,0
75,0.063548244,0
75.1,0.060744843,0
75.2,0.057630638,0
75.3,0.054264818,0
75.4,0.05070333,0
75.5,0.046998659,0
75.6,0.043199654,0
75.7,0.039351417,0
75.8,0.035495221,0
75.9,0.03166849,0
76,0.027904806,0
76.1,0.024233956,0
76.2,0.020682009,0
76.3,0.017271424,0
76.4,0.014021175,0
76.5,0.010946911,0
76.6,0.008061115,0
76.7,0.005373291,0
76.8,0.002890156,0
76.9,0.000615843,0
77,-0.001447897,0
77.1,-0.003301479,0
77.2,-0.004947278,0
77.3,-0.006389418,0
77.4,-0.007633568,0
77.5,-0.008686738,0
77.6,-0.00955709,0
77.7,-0.010253745,0
77.8,-0.010786608,0
77.9,-0.0111662,0
78,-0.011403497,0
78.1,-0.011509784,0
78.2,-0.011496518,0
78.3,-0.011375201,0
78.4,-0.01115727,0
78.5,-0.010853991,0
78.6,-0.01047637,0
78.7,-0.010035071,0
78.8,-0.00954035,0
78.9,-0.009001995,0
79,-0.008429278,0
79.1,-0.007830914,0
79.2,-0.007215032,0
79.3,-0.006589157,0
79.4,-0.005960189,0
79.5,-0.005334405,0
79.6,-0.00471745,0
79.7,-0.004114351,0
79.8,-0.003529524,0
79.9,-0.002966791,0
